shipment_id,origin_port,destination_port,carrier,departure_date,arrival_date,cost,status
187,PRINCE RUPERT,HAMBURG,CMA CGM,2025-08-10,2025-09-04,3576.71,IN_TRANSIT
188,HAMBURG,ANTWERP,HAPAG-LLOYD,2025-07-25,2025-07-28,1030.7,BOOKED
189,BUSAN,NEW YORK,COSCO,2025-07-08,2025-08-07,3602.82,DELAYED
190,SINGAPORE,ANTWERP,MAERSK,2025-06-11,2025-07-09,3350.59,IN_TRANSIT
192,ANTWERP,VANCOUVER,MSC,2025-07-03,2025-07-27,3410.87,DELIVERED
193,TOKYO,LONG BEACH,ZIM,2025-06-18,2025-07-03,2576.49,IN_TRANSIT
194,MONTREAL,PRINCE RUPERT,CMA CGM,2025-07-16,2025-08-10,3801.35,BOOKED
195,HAMBURG,SINGAPORE,HAPAG-LLOYD,2025-07-15,2025-08-13,3298.53,DELAYED
197,LONG BEACH,TOKYO,MAERSK,2025-06-21,2025-07-10,2638.2,BOOKED
198,BUSAN,VANCOUVER,ONE,2025-08-19,2025-08-31,2118.44,DELIVERED
200,SINGAPORE,HALIFAX,ZIM,2025-06-27,2025-07-28,4224.22,BOOKED
201,SHANGHAI,ROTTERDAM,CMA CGM,2025-06-13,2025-07-19,3559.15,DELAYED
203,ANTWERP,SINGAPORE,COSCO,2025-06-28,2025-07-26,3343.85,BOOKED
204,TOKYO,PRINCE RUPERT,MAERSK,2025-07-24,2025-08-05,2286.67,DELIVERED
205,HAMBURG,VANCOUVER,ONE,2025-08-15,2025-09-10,3491.56,IN_TRANSIT
206,VANCOUVER,TOKYO,MSC,2025-08-25,2025-09-07,2156.9,BOOKED
208,BUSAN,ANTWERP,CMA CGM,2025-07-06,2025-08-11,3740.3,IN_TRANSIT
209,NEW YORK,TOKYO,HAPAG-LLOYD,2025-07-17,2025-08-11,3630.07,BOOKED
211,SHANGHAI,ANTWERP,MAERSK,2025-07-18,2025-08-24,3602.82,IN_TRANSIT
212,ROTTERDAM,SINGAPORE,ONE,2025-08-19,2025-09-15,3044.82,BOOKED
213,ANTWERP,HALIFAX,MSC,2025-07-05,2025-07-16,2097.35,DELAYED
215,MONTREAL,ROTTERDAM,CMA CGM,2025-06-03,2025-06-17,2417.47,BOOKED
216,LONG BEACH,NEW YORK,HAPAG-LLOYD,2025-08-11,2025-09-02,3086.65,DELIVERED
218,BUSAN,LONG BEACH,MAERSK,2025-06-24,2025-07-08,2119.5,BOOKED
219,PRINCE RUPERT,HALIFAX,ONE,2025-07-25,2025-08-14,3743.83,DELAYED
220,ANTWERP,HAMBURG,MSC,2025-08-22,2025-08-25,1030.7,IN_TRANSIT
222,SHANGHAI,LONG BEACH,CMA CGM,2025-07-22,2025-08-09,2211.53,DELIVERED
223,ROTTERDAM,ANTWERP,HAPAG-LLOYD,2025-06-06,2025-06-08,1025.12,IN_TRANSIT
225,MONTREAL,HALIFAX,MAERSK,2025-07-23,2025-07-27,1118.84,DELAYED
226,LONG BEACH,BUSAN,ONE,2025-07-16,2025-07-31,2127.35,IN_TRANSIT
227,VANCOUVER,PRINCE RUPERT,MSC,2025-08-23,2025-08-26,1087.6,BOOKED
228,HALIFAX,TOKYO,ZIM,2025-06-06,2025-07-05,3578.89,DELIVERED
230,SHANGHAI,HALIFAX,HAPAG-LLOYD,2025-08-01,2025-09-01,4032.55,BOOKED
231,HAMBURG,MONTREAL,COSCO,2025-08-02,2025-08-15,2367.75,DELAYED
233,TOKYO,SHANGHAI,ONE,2025-08-05,2025-08-10,1111.45,BOOKED
234,MONTREAL,NEW YORK,MSC,2025-07-28,2025-07-31,1093.89,DELIVERED
235,LONG BEACH,ANTWERP,ZIM,2025-07-17,2025-08-09,3356.54,IN_TRANSIT
237,BUSAN,PRINCE RUPERT,HAPAG-LLOYD,2025-08-18,2025-08-31,2281.76,DELAYED
238,NEW YORK,SHANGHAI,COSCO,2025-06-20,2025-07-19,3587.73,IN_TRANSIT
239,SINGAPORE,LONG BEACH,MAERSK,2025-08-16,2025-09-04,2758.38,BOOKED
241,MONTREAL,VANCOUVER,MSC,2025-07-13,2025-08-08,3411.53,IN_TRANSIT
242,LONG BEACH,HAMBURG,ZIM,2025-08-07,2025-08-31,3438.27,BOOKED
244,NEW YORK,ROTTERDAM,HAPAG-LLOYD,2025-07-06,2025-07-18,2287.97,IN_TRANSIT
245,SINGAPORE,PRINCE RUPERT,COSCO,2025-06-06,2025-06-25,2841.51,BOOKED
247,LONG BEACH,ROTTERDAM,ONE,2025-08-03,2025-08-25,3034.4,IN_TRANSIT
248,SHANGHAI,NEW YORK,MSC,2025-06-03,2025-06-28,3663.29,BOOKED
250,SINGAPORE,ANTWERP,CMA CGM,2025-08-20,2025-09-17,3364.57,IN_TRANSIT
135,SINGAPORE,VANCOUVER,ONE,2025-10-15,2025-11-05,2477.53,DELAYED
